id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,150496,TON,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,78412,TON,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55014,TON,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10926,TON,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,13966,TON,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30395,TON,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,39042,TON,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,22026,TON,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,1928,TON,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11417,TON,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2903,TON,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1443,TON,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,1583,TON,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,6494,TON,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2236,TON,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,4522,TON,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5624,TON,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10407,TON,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,133,TON,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,8340,TON,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,75,TON,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,2390,TON,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,3726,TON,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3916,TON,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,1459,TON,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,231900,TON,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,62252,TON,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,67298,TON,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7319,TON,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,36311,TON,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,33857,TON,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,43209,TON,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,28631,TON,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,1290,TON,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7160,TON,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10366,TON,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,991,TON,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,1271,TON,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16427,TON,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1375,TON,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,2832,TON,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3476,TON,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6108,TON,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,82,TON,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,6528,TON,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,34,TON,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,1794,TON,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,2292,TON,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2599,TON,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,701,TON,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,79216,TON,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,124871,TON,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,119698,TON,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,14216,TON,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,3823,TON,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,61887,TON,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,79216,TON,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,52262,TON,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,3042,TON,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13420,TON,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20553,TON,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1819,TON,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,3571,TON,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,36042,TON,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2513,TON,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,5205,TON,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6320,TON,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10930,TON,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,159,TON,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,12279,TON,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,62,TON,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,1,TON,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,3353,TON,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,1396,TON,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,7,TON,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4750,TON,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,1282,TON,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,241556,TON,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,83036,TON,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,89198,TON,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11671,TON,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,4863,TON,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,49023,TON,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,60530,TON,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,50103,TON,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,1943,TON,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10325,TON,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,13744,TON,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1368,TON,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,2733,TON,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,32304,TON,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1890,TON,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,5437,TON,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4756,TON,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6039,TON,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,122,TON,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,9192,TON,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,61,TON,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,1,TON,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,2526,TON,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,1050,TON,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,5,TON,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3730,TON,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,954,TON,2022
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,294974,TON,2023
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,99974,TON,2023
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,63471,TON,2023
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,13912,TON,2023
275,32,JAWA BARAT,3205,KABUPATEN GARUT,6377,TON,2023
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,56132,TON,2023
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,72228,TON,2023
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,60074,TON,2023
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,2339,TON,2023
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12591,TON,2023
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18021,TON,2023
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1598,TON,2023
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,3307,TON,2023
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,39408,TON,2023
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2265,TON,2023
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,6416,TON,2023
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5678,TON,2023
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7291,TON,2023
289,32,JAWA BARAT,3271,KOTA BOGOR,148,TON,2023
290,32,JAWA BARAT,3272,KOTA SUKABUMI,11286,TON,2023
291,32,JAWA BARAT,3273,KOTA BANDUNG,71,TON,2023
292,32,JAWA BARAT,3274,KOTA CIREBON,1,TON,2023
293,32,JAWA BARAT,3275,KOTA BEKASI,3056,TON,2023
294,32,JAWA BARAT,3276,KOTA DEPOK,1252,TON,2023
295,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2023
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4448,TON,2023
297,32,JAWA BARAT,3279,KOTA BANJAR,1149,TON,2023
